HName	Level	STR	DEX	INTE	Exp	MonsterSummonInfo	AIType
치프솔져	9	50	35	20	0	\n[({74},3)/({75},4)/({76},5)]\n	45
치프솔져2	9	50	35	20	0		46
치프데드바디	5	20	20	11	0		47
치프데드바디2	5	20	20	11	0		48
치프블러드워록	45	70	40	100	0		49
치프키드	7	40	30	20	0	\n[({38},3)/({39},4)/({40},5)]\n	50
치프골레머	50	140	70	15	0		51
치프더티스트라이더	32	60	50	75	0	\n[({188},3)/({189},4)/({190},5)]\n	52
치프알칸	19	50	40	40	0		53
치프카오스가디언	75	160	110	30	0		54
치프쉐도우윙	55	80	55	100	0		55
치프뮤턴트	25	80	50	20	0		56
치프에스트로이더	35	100	65	15	0		57
치프모데라스	28	50	30	75	0		58
치프다크스크리머	71	90	90	105	0		59
치프카오스나이트	65	155	87	25	0		60
치프카오스나이트2	65	155	87	25	0		61
치프로드다크니스	95	160	87	110	0		62
치프헬위자드	68	110	50	116	0		63
치프다크가디언	100	250	90	217	0		64
치프로드카오스	100	255	130	30	0		65
