HName	Level	STR	DEX	INTE	Exp	MonsterSummonInfo	AIType
데드바디	1	10	10	1	0		0
데드바디	1	10	10	1	0		0
데드바디	1	10	10	1	0		0
데드바디	1	10	10	1	0		0
데드바디	1	10	10	1	0		0
데드바디	1	10	10	1	0		0
데드바디	1	10	10	1	0		0
데드바디	1	10	10	1	0		0
데드바디	1	10	10	1	0		0
데드바디	1	10	10	1	0		0
터닝데드	1	15	10	1	0		1
터닝데드	1	15	10	1	0		1
터닝데드	1	15	10	1	0		1
터닝데드	1	15	10	1	0		1
터닝데드	1	15	10	1	0		1
터닝데드	1	15	10	1	0		1
터닝데드	1	15	10	1	0		1
터닝데드	1	15	10	1	0		1
터닝데드	1	15	10	1	0		1
터닝데드	1	15	10	1	0		1
터닝소울	1	20	10	1	0		3
터닝소울	1	20	10	1	0		3
터닝소울	1	20	10	1	0		3
터닝소울	1	20	10	1	0		3
터닝소울	1	20	10	1	0		3
터닝소울	1	20	10	1	0		3
터닝소울	1	20	10	1	0		3
터닝소울	1	20	10	1	0		3
터닝소울	1	20	10	1	0		3
터닝소울	1	20	10	1	0		3
키드	2	30	20	10	0		2
키드	2	30	20	10	0		2
키드	2	30	20	10	0		2
키드	2	30	20	10	0		2
키드	2	30	20	10	0		2
키드	2	30	20	10	0		2
키드	2	30	20	10	0		2
키드	2	30	20	10	0		2
키드	2	30	20	10	0		2
키드	2	30	20	10	0		2
솔져	5	40	25	10	0		4
솔져	5	40	25	10	0		4
솔져	5	40	25	10	0		4
솔져	5	40	25	10	0		4
솔져	5	40	25	10	0		4
솔져	5	40	25	10	0		4
솔져	5	40	25	10	0		4
솔져	5	40	25	10	0		4
솔져	5	40	25	10	0		4
솔져	5	40	25	10	0		4
캡틴	10	50	30	10	0		5
캡틴	10	50	30	10	0		5
캡틴	10	50	30	10	0		5
캡틴	10	50	30	10	0		5
캡틴	10	50	30	10	0		5
캡틴	10	50	30	10	0		5
캡틴	10	50	30	10	0		5
캡틴	10	50	30	10	0		5
캡틴	10	50	30	10	0		5
캡틴	10	50	30	10	0		5
알칸	14	40	30	30	0		7
알칸	14	40	30	30	0		7
알칸	14	40	30	30	0		7
알칸	14	40	30	30	0		7
알칸	14	40	30	30	0		7
알칸	14	40	30	30	0		7
알칸	14	40	30	30	0		7
알칸	14	40	30	30	0		7
알칸	14	40	30	30	0		7
알칸	14	40	30	30	0		7
아이언티쓰	15	60	30	10	0		20
아이언티쓰	15	60	30	10	0		20
아이언티쓰	15	60	30	10	0		20
아이언티쓰	15	60	30	10	0		20
아이언티쓰	15	60	30	10	0		20
아이언티쓰	15	60	30	10	0		20
아이언티쓰	15	60	30	10	0		20
아이언티쓰	15	60	30	10	0		20
아이언티쓰	15	60	30	10	0		20
아이언티쓰	15	60	30	10	0		20
레드아이	18	30	20	60	0		9
레드아이	18	30	20	60	0		9
레드아이	18	30	20	60	0		9
레드아이	18	30	20	60	0		9
레드아이	18	30	20	60	0		9
레드아이	18	30	20	60	0		9
레드아이	18	30	20	60	0		9
레드아이	18	30	20	60	0		9
레드아이	18	30	20	60	0		9
레드아이	18	30	20	60	0		9
뮤턴트	20	70	40	10	0		14
뮤턴트	20	70	40	10	0		14
뮤턴트	20	70	40	10	0		14
뮤턴트	20	70	40	10	0		14
뮤턴트	20	70	40	10	0		14
뮤턴트	20	70	40	10	0		14
뮤턴트	20	70	40	10	0		14
뮤턴트	20	70	40	10	0		14
뮤턴트	20	70	40	10	0		14
뮤턴트	20	70	40	10	0		14
모데라스	23	40	20	65	0		15
모데라스	23	40	20	65	0		15
모데라스	23	40	20	65	0		15
모데라스	23	40	20	65	0		15
모데라스	23	40	20	65	0		15
모데라스	23	40	20	65	0		15
모데라스	23	40	20	65	0		15
모데라스	23	40	20	65	0		15
모데라스	23	40	20	65	0		15
모데라스	23	40	20	65	0		15
벤덜라이저	25	55	30	55	0		18
벤덜라이저	25	55	30	55	0		18
벤덜라이저	25	55	30	55	0		18
벤덜라이저	25	55	30	55	0		18
벤덜라이저	25	55	30	55	0		18
벤덜라이저	25	55	30	55	0		18
벤덜라이저	25	55	30	55	0		18
벤덜라이저	25	55	30	55	0		18
벤덜라이저	25	55	30	55	0		18
벤덜라이저	25	55	30	55	0		18
더티스트라이더	27	50	40	65	0		10
더티스트라이더	27	50	40	65	0		10
더티스트라이더	27	50	40	65	0		10
더티스트라이더	27	50	40	65	0		10
더티스트라이더	27	50	40	65	0		10
더티스트라이더	27	50	40	65	0		10
더티스트라이더	27	50	40	65	0		10
더티스트라이더	27	50	40	65	0		10
더티스트라이더	27	50	40	65	0		10
더티스트라이더	27	50	40	65	0		10
에스트로이더	30	90	55	5	0		16
에스트로이더	30	90	55	5	0		16
에스트로이더	30	90	55	5	0		16
에스트로이더	30	90	55	5	0		16
에스트로이더	30	90	55	5	0		16
에스트로이더	30	90	55	5	0		16
